"name" "id" "popFrac" "pop31.12.2001"
"LK Loerrach" 8336 0.00955704642962118 219149
"LK Waldshut" 8337 0.00724420011321107 166114
"LK Breisgau Hochschwarzwald" 8315 0.0105990592491612 243043
"SK Freiburg i. Breisgau" 8311 0.0090836619332578 208294
"SK Passau" 9262 0.00220966550402911 50669
"LK Berchtesgadener Land" 9172 0.00438828082276013 100626
"SK Rosenheim" 9163 0.0025864978792549 59310
"LK Lindau" 9776 0.00339502377170787 77850
"SK Kempten" 9763 0.00268222141398706 61505
"LK Bodenseekreis" 8435 0.00876330426303345 200948
"LK Konstanz" 8335 0.0117248901250817 268859
"LK Tuttlingen" 8327 0.00583787093414831 133866
"LK Schwarzwald Baar Kreis" 8326 0.00921566883058548 211321
"LK Emmendingen" 8316 0.0066702513931154 152953
"LK Rottweil" 8325 0.00618217039050841 141761
"LK Passau" 9275 0.00817051610466703 187355
"LK Traunstein" 9189 0.0073625135299438 168827
"LK Altoetting" 9171 0.00475447240414782 109023
"LK Rosenheim" 9187 0.0104709772348066 240106
"LK Miesbach" 9182 0.0040435016584811 92720
"LK Bad Toelz Wolfratshausen" 9173 0.00512048954629225 117416
"LK Ebersberg" 9175 0.00525131897872801 120416
"SK Memmingen" 9764 0.00179240683418067 41101
"LK Ravensburg" 8436 0.0117995937310025 270572
"LK Oberallgaeu" 9780 0.00646798909056973 148315
"SK Kaufbeuren" 9762 0.00184234006756032 42246
"LK Garmisch Partenkirchen" 9180 0.00381184634344819 87408
"LK Weilheim Schongau" 9190 0.00560573591119647 128543
"LK Starnberg" 9188 0.00552047873105917 126588
"SK Muenchen" 9162 0.0535510160649821 1227958
"LK Neu Ulm" 9775 0.00702597661990823 161110
"SK Ulm" 8421 0.00516109028015815 118347
"LK Sigmaringen" 8437 0.00582936702103999 133671
"LK Biberach" 8426 0.00804810336571798 184548
"LK Zollernalbkreis" 8417 0.00842524100961945 193196
"LK Ortenaukreis" 8317 0.0179450446608073 411491
"LK Freudenstadt" 8237 0.0053065289992159 121682
"SK Baden Baden" 8211 0.00231498319713989 53084
"LK Freyung Grafenau" 9272 0.00360012071195633 82553
"LK Deggendorf" 9271 0.00508307232861562 116558
"SK Straubing" 9263 0.00193261237594099 44316
"LK Dingolfing Landau" 9279 0.0039779997226416 91218
"LK Rottal Inn" 9277 0.0051942337363752 119107
"SK Landshut" 9261 0.00259535067084972 59513
"LK Muehldorf a. Inn" 9183 0.00478543536982428 109733
"LK Muenchen" 9184 0.0130778408957106 299883
"LK Erding" 9177 0.005143733575455 117949
"LK Unterallgaeu" 9778 0.00588383567474408 134920
"LK Ostallgaeu" 9777 0.00577345924357911 132389
"SK Augsburg" 9761 0.0112441791805019 257836
"LK Landsberg a. Lech" 9181 0.00469280813165976 107609
"LK Fuerstenfeldbruck" 9179 0.00854181003391971 195869
"LK Dachau" 9174 0.00572793060109147 131345
"LK Guenzburg" 9774 0.00532536843748664 122114
"LK Alb Donau Kreis" 8425 0.0081550346218288 187000
"LK Tuebingen" 8416 0.00920419945034194 211058
"LK Reutlingen" 8415 0.012174856153039 279177
"SK Pforzheim" 8231 0.00514604489542803 118002
"LK Boeblingen" 8115 0.0160409967109481 367830
"LK Calw" 8235 0.00698258485815037 160115
"LK Rastatt" 8216 0.00978207305341068 224309
"SK Karlsruhe" 8212 0.0121923436871746 279578
"LK Regen" 9276 0.00360744716017273 82721
"SK Regensburg" 9362 0.00554708071565444 127198
"LK Straubing Bogen" 9278 0.00418806818132262 96035
"LK Landshut" 9274 0.0063017921015655 144504
"LK Freising" 9178 0.00677679016092892 155396
"LK Pfaffenhofen.a.d.Ilm" 9186 0.00493274931074694 113111
"SK Ingolstadt" 9161 0.005115910516157 117311
"LK Dillingen a. d. Donau" 9773 0.00411829248402355 94435
"LK Augsburg" 9772 0.0104025098318318 238536
"LK Aichach Friedberg" 9771 0.0054294650558947 124501
"LK Neuburg Schrobenhausen" 9185 0.00393465157069456 90224
"LK Heidenheim" 8135 0.00597694262082752 137055
"LK Goeppingen" 8117 0.0112361113655017 257651
"LK Esslingen" 8116 0.022037781795695 505340
"SK Stuttgart" 8111 0.0256055876378397 587152
"LK Enzkreis" 8236 0.00845476485153912 193873
"SK Heilbronn" 8121 0.00524028569659259 120163
"LK Ludwigsburg" 8118 0.0219457214850711 503229
"SK Heidelberg" 8221 0.00617118071818381 141509
"LK Karlsruhe" 8215 0.0184448567025227 422952
"SK Schwabach" 9565 0.00167976269285349 38518
"LK Cham" 9372 0.00573102689765911 131416
"LK Regensburg" 9375 0.00776668925654867 178095
