"name" "id" "popFrac" "pop31.12.2001"
"LK Kelheim" 9273 0.0048371129956364 110918
"LK Eichstaett" 9176 0.00527813901237734 121031
"SK Fuerth" 9563 0.00485189672150164 111257
"SK Erlangen" 9562 0.00444436303946426 101912
"LK Donau Ries" 9779 0.00568388469217143 130335
"LK Weissenburg Gunzenhausen" 9577 0.00415060735383518 95176
"LK Fuerth" 9573 0.00495102182147713 113530
"SK Ansbach" 9561 0.00176235967453126 40412
"LK Ostalbkreis" 8136 0.0137521357904845 315345
"LK Rems Murr Kreis" 8119 0.0180090638630791 412959
"LK Heilbronn" 8125 0.0141314539249266 324043
"LK Rhein Neckar Kreis" 8226 0.0230170837072875 527796
"SK Mannheim" 8222 0.0134486115072336 308385
"LK Roth" 9576 0.0054496127884898 124963
"SK Nuernberg" 9564 0.0214258053205714 491307
"SK Weiden i. d. OPf." 9363 0.00187831816148015 43071
"LK Schwandorf" 9376 0.00629594838691671 144370
"LK Neumarkt i. d. OPf." 9373 0.005552052234087 127312
"SK Amberg" 9361 0.00192829500467061 44217
"LK Erlangen Hoechstadt" 9572 0.00565841656265727 129751
"SK Bamberg" 9461 0.00302634643110391 69396
"SK Wuerzburg" 9663 0.00566556857163042 129915
"LK Neustadt/Aisch Bad Windsheim" 9575 0.00432417440086661 99156
"LK Ansbach" 9571 0.00800972673220349 183668
"LK Schwaebisch Hall" 8127 0.00815359549807201 186967
"LK Hohenlohekreis" 8126 0.00474998059363419 108920
"LK Neckar Odenwald Kreis" 8225 0.0065454401145717 150091
"LK Kitzingen" 9675 0.00388580858258521 89104
"SK Schweinfurt" 9662 0.00237970015638478 54568
"LK Nuernberger Land" 9574 0.00735666981529501 168693
"LK Forchheim" 9474 0.00492084383239529 112838
"SK Bayreuth" 9462 0.00324975949189337 74519
"LK Tirschenreuth" 9377 0.00348023734203436 79804
"LK Neustadt a. d. Waldnaab" 9374 0.0044064661138687 101043
"LK Amberg Sulzbach" 9371 0.00475708899279653 109083
"LK Bamberg" 9471 0.00624086919586125 143107
"SK Coburg" 9463 0.0018664126831285 42798
"LK Wuerzburg" 9679 0.00694752257025759 159311
"LK Main Tauber Kreis" 8128 0.00599669786512532 137508
"LK Miltenberg" 9676 0.00572897723655095 131369
"SK Aschaffenburg" 9661 0.00298121027691358 68361
"LK Schweinfurt" 9678 0.00509685302883219 116874
"LK Wunsiedel i. Fichtelgebirge" 9479 0.00371895744641881 85278
"LK Bayreuth" 9472 0.00476432822139131 109249
"SK Hof" 9464 0.00220901135686693 50654
"LK Lichtenfels" 9478 0.00309080173148393 70874
"LK Kulmbach" 9477 0.00343095825581689 78674
"LK Hassberge" 9674 0.00385563059350336 88412
"LK Coburg" 9473 0.0040207809470481 92199
"LK Main Spessart" 9677 0.00576547864820053 132206
"LK Aschaffenburg" 9671 0.00761326994211234 174577
"LK Rhoen Grabfeld" 9673 0.00378171196417716 86717
"LK Bad Kissingen" 9672 0.00477518706428348 109498
"LK Hof" 9475 0.00474230526693129 108744
"LK Kronach" 9476 0.00329070910424576 75458
